,name,url
352,outer space,https://en.wikipedia.org/wiki/outer_space
353,fallen astronaut,https://en.wikipedia.org/wiki/fallen_astronaut
354,airman,https://en.wikipedia.org/wiki/airman
355,cosmonautics day,https://en.wikipedia.org/wiki/cosmonautics_day
356,laika,https://en.wikipedia.org/wiki/laika
357,félicette,https://en.wikipedia.org/wiki/félicette
358,monkeys and non-human apes in space,https://en.wikipedia.org/wiki/monkeys_and_non-human_apes_in_space
359,ham (chimpanzee),https://en.wikipedia.org/wiki/ham_(chimpanzee)
360,soviet space dogs,https://en.wikipedia.org/wiki/soviet_space_dogs
361,plants in space,https://en.wikipedia.org/wiki/plants_in_space
362,space chimps,https://en.wikipedia.org/wiki/space_chimps
363,monkeys and apes in space,https://en.wikipedia.org/wiki/monkeys_and_apes_in_space
364,bioastronautics,https://en.wikipedia.org/wiki/bioastronautics
365,lunar rover,https://en.wikipedia.org/wiki/lunar_rover
366,chinese space program,https://en.wikipedia.org/wiki/chinese_space_program
367,model organism,https://en.wikipedia.org/wiki/model_organism
368,exomars trace gas orbiter,https://en.wikipedia.org/wiki/exomars_trace_gas_orbiter
369,mars express,https://en.wikipedia.org/wiki/mars_express
370,lunar water,https://en.wikipedia.org/wiki/lunar_water
371,department of space,https://en.wikipedia.org/wiki/department_of_space
372,pioneer venus orbiter,https://en.wikipedia.org/wiki/pioneer_venus_orbiter
373,family portrait (voyager),https://en.wikipedia.org/wiki/family_portrait_(voyager)
374,gaganyaan,https://en.wikipedia.org/wiki/gaganyaan
375,planetary grand tour,https://en.wikipedia.org/wiki/planetary_grand_tour
376,unmanned space mission,https://en.wikipedia.org/wiki/unmanned_space_mission
377,opportunity rover,https://en.wikipedia.org/wiki/opportunity_rover
378,spirit rover,https://en.wikipedia.org/wiki/spirit_rover
379,life on mars (planet),https://en.wikipedia.org/wiki/life_on_mars_(planet)
380,mars pathfinder,https://en.wikipedia.org/wiki/mars_pathfinder
381,mariner 9,https://en.wikipedia.org/wiki/mariner_9
382,composition of mars,https://en.wikipedia.org/wiki/composition_of_mars
383,exomars,https://en.wikipedia.org/wiki/exomars
384,luna programme,https://en.wikipedia.org/wiki/luna_programme
385,lunar orbiter program,https://en.wikipedia.org/wiki/lunar_orbiter_program
386,atlas (rocket family),https://en.wikipedia.org/wiki/atlas_(rocket_family)
387,mariner mark ii,https://en.wikipedia.org/wiki/mariner_mark_ii
388,mars science laboratory,https://en.wikipedia.org/wiki/mars_science_laboratory
