,source,target
1494,181,185
1495,181,1089
1496,182,1090
1497,182,1091
1498,182,1092
1499,182,1093
1500,182,1094
1501,182,77
1502,182,1095
1503,182,178
1504,182,1096
1505,183,1097
1506,183,310
1507,183,304
1508,183,90
1509,183,93
1510,183,228
1511,183,303
1512,183,278
1513,184,1022
1514,184,194
1515,184,190
1516,184,1087
1517,184,83
1518,184,1098
1519,185,243
1520,185,194
1521,185,1099
1522,185,1100
1523,185,187
1524,185,83
1525,185,192
1526,185,1101
1527,185,67
1528,185,1102
1529,185,1103
1530,185,1104
1531,185,1105
1532,185,1106
1533,185,1107
1534,185,1108
1535,185,1109
1536,186,416
1537,186,91
1538,186,300
1539,186,301
1540,186,188
1541,186,291
1542,186,1110
1543,186,414
1544,186,787
1545,186,415
1546,186,290
1547,186,348
1548,186,413
1549,186,412
1550,186,289
1551,186,288
1552,187,194
1553,187,91
1554,187,197
1555,187,37
1556,187,190
1557,187,192
1558,187,1085
1559,187,1111
1560,187,83
1561,187,80
1562,187,85
1563,187,186
1564,188,1112
1565,188,1113
1566,188,1084
1567,188,91
1568,188,1114
1569,188,10
1570,188,190
1571,188,248
1572,188,1115
1573,188,1086
1574,188,1087
1575,188,243
1576,188,83
1577,188,1116
1578,189,10
1579,189,192
1580,189,1099
1581,189,187
1582,190,416
1583,190,1117
1584,190,10
1585,190,197
1586,190,37
1587,190,209
1588,190,248
1589,190,188
1590,190,1118
1591,190,544
1592,190,186
1593,190,241
1594,191,1119
1595,191,195
1596,191,1120
1597,191,1121
1598,191,1109
1599,191,445
1600,191,183
1601,191,1034
1602,191,370
1603,191,1122
1604,191,1118
1605,191,83
1606,191,1123
1607,191,280
1608,191,1124
1609,191,1125
1610,191,228
1611,191,36
1612,191,34
1613,191,93
1614,192,194
1615,192,1126
1616,192,91
1617,192,190
1618,192,189
1619,192,83
1620,192,85
1621,192,185
1622,193,122
1623,193,47
1624,194,1022
1625,194,1084
1626,194,278
1627,194,91
1628,194,10
1629,194,197
1630,194,190
1631,194,445
1632,194,637
1633,194,192
1634,194,1085
1635,194,248
1636,194,188
1637,194,1086
1638,194,1087
1639,194,5
1640,194,1088
1641,194,93
1642,194,80
1643,194,184
1644,194,185
1645,194,1089
1646,195,1127
1647,195,647
1648,195,1126
1649,195,637
1650,195,1034
1651,195,1103
1652,195,1128
1653,195,236
1654,195,1129
1655,195,43
1656,195,1130
1657,195,1131
1658,195,1132
1659,196,89
1660,196,85
1661,196,690
1662,196,33
1663,196,43
1664,196,30
1665,196,285
1666,197,1133
1667,197,1134
1668,197,91
1669,197,740
1670,197,1135
1671,197,1136
1672,197,1137
1673,197,1138
1674,197,1139
1675,197,1140
1676,197,1141
1677,197,186
1678,197,1142
1679,198,1143
1680,198,1144
1681,198,1145
1682,198,1146
1683,198,1147
1684,198,1148
1685,198,1149
1686,198,1150
1687,198,585
1688,198,1151
1689,198,1152
1690,199,1153
1691,199,1154
1692,199,1155
1693,199,1156
1694,199,1157
1695,199,1158
1696,200,1159
1697,200,1160
1698,200,1161
1699,200,1162
1700,200,1163
1701,201,1164
1702,201,1165
1703,201,1166
1704,201,1167
1705,201,1168
